Wavelength[nm],T% at AOI 0 deg
665.5,-0.0001506409899
665,5.17E-05
664.5,0.0001922367956
664,0.0001917746413
663.5,9.96E-06
663,-9.72E-06
662.5,-0.0001632376079
662,6.62E-05
661.5,-2.12E-05
661,3.95E-05
660.5,-1.79E-05
660,-6.93E-05
659.5,-5.33E-05
659,-0.000106978041
658.5,-8.23E-06
658,0.0001673166116
657.5,-3.77E-05
657,-2.69E-05
656.5,0.0001006737875
656,0.0001649019687
655.5,0.0001974801562
655,9.23E-05
654.5,0.0001799321763
654,3.42E-05
653.5,0.000222262679
653,0.0001275260292
652.5,1.23E-05
652,-3.46E-05
651.5,1.97E-05
651,-5.36E-05
650.5,3.22E-05
650,7.70E-05
649.5,0.0001960560476
649,5.12E-05
648.5,0.0001376304717
648,0.0001312164241
647.5,-0.0001837271411
647,-7.72E-05
646.5,-6.68E-05
646,0.0001676129905
645.5,5.87E-06
645,5.46E-05
644.5,7.93E-05
644,0.0002057349775
643.5,5.38E-05
643,-7.12E-05
642.5,2.54E-06
642,-0.0001296270057
641.5,1.88E-06
641,-9.38E-05
640.5,-9.20E-05
640,-3.98E-05
639.5,0.0001034571469
639,-5.72E-06
638.5,0.0002384971158
638,0.000137715193
637.5,-6.35E-07
637,5.76E-05
636.5,-0.0001454339945
636,-0.0001256449468
635.5,-6.78E-05
635,-0.000150756372
634.5,-5.15E-05
634,1.82E-05
633.5,1.21E-05
633,1.75E-05
632.5,-4.75E-06
632,6.22E-05
631.5,-4.39E-05
631,-0.0001155873324
630.5,0.0001274974056
630,0.0001485471876
629.5,1.56E-06
629,3.67E-05
628.5,-1.17E-05
628,4.11E-06
627.5,-2.82E-07
627,-6.58E-05
626.5,7.09E-05
626,0.0001719134016
625.5,2.86E-05
625,0.0001777306461
624.5,0.0001728581992
624,9.67E-05
623.5,0.0002055051445
623,0.0003073202097
622.5,0.0006349789328
622,0.0006652043667
621.5,0.0008562439471
621,0.001130872872
620.5,0.001324220677
620,0.0009560077451
619.5,0.001039758907
619,0.0007393376436
618.5,0.0006917343708
618,0.0002266986703
617.5,0.000313248107
617,0.0004114009789
616.5,0.0002423505939
616,0.0001224882144
615.5,5.90E-05
615,-4.22E-05
614.5,-2.96E-05
614,9.56E-05
613.5,-7.40E-05
613,7.72E-05
612.5,4.39E-05
612,5.27E-05
611.5,0.0001747780916
611,0.000177025533
610.5,2.24E-05
610,7.17E-05
609.5,4.91E-05
609,-7.50E-06
608.5,-5.91E-05
608,9.97E-05
607.5,0.0002911262563
607,0.0001839761535
606.5,-4.47E-05
606,5.34E-05
605.5,0.000148813313
605,7.15E-05
604.5,6.44E-05
604,0.0002214201668
603.5,5.58E-06
603,-7.33E-05
602.5,0.0001900651114
602,-0.0001216626042
601.5,1.84E-05
601,0.0001110598314
600.5,-7.62E-05
600,4.28E-06
599.5,0.0003195359313
599,-0.0001127906799
598.5,0.000156471302
598,0.0003605568781
597.5,7.79E-05
597,0.0004517511989
596.5,0.0001253226656
596,0.0002112170769
595.5,0.0001513022144
595,0.0003921282187
594.5,-9.56E-06
594,0.0002982737205
593.5,0.000279405358
593,-8.59E-05
592.5,0.000183010372
592,1.10E-05
591.5,-5.43E-05
591,4.23E-05
590.5,0.0001112180908
590,0.0002008518495
589.5,9.58E-05
589,0.0001436863677
588.5,-8.52E-05
588,0.0002835064661
587.5,-4.17E-05
587,-2.65E-05
586.5,-0.0001338372822
586,5.22E-05
585.5,0.0001717098203
585,-0.0003122263879
584.5,-1.14E-05
584,0.0001125430135
583.5,-0.0001922602678
583,-2.61E-05
582.5,5.89E-05
582,-2.03E-05
581.5,-0.000209982245
581,-5.11E-05
580.5,6.42E-05
580,-0.0001639891416
579.5,0.0001866989187
579,3.81E-05
578.5,-0.0001484671375
578,4.27E-05
577.5,-7.92E-05
577,1.53E-06
576.5,-3.90E-05
576,-7.02E-05
575.5,-0.0001943061361
575,-2.83E-05
574.5,6.15E-05
574,-0.0001469970885
573.5,0.0001829796965
573,-0.0001529572182
572.5,3.69E-05
572,-7.33E-05
571.5,0.0001225102023
571,-0.0002183743782
570.5,-1.34E-05
570,-7.39E-05
569.5,1.78E-05
569,0.0002000402019
568.5,0.0001457913895
568,-0.000132472007
567.5,2.98E-05
567,0.0002845407871
566.5,-0.0002867978474
566,6.50E-05
565.5,0.0002986431937
565,-9.39E-05
564.5,0.000112291571
564,-2.75E-05
563.5,0.0002603354806
563,1.13E-06
562.5,5.54E-05
562,0.0001257443364
561.5,6.85E-05
561,6.20E-05
560.5,4.98E-05
560,0.0001848719985
559.5,0.0001143582267
559,0.0001427737152
558.5,0.0001132228354
558,-3.67E-06
557.5,3.62E-05
557,0.000136516348
556.5,1.70E-05
556,8.40E-06
555.5,-4.35E-05
555,1.31E-05
554.5,-1.45E-05
554,-9.68E-05
553.5,-6.98E-06
553,-9.08E-05
552.5,7.50E-05
552,-5.26E-05
551.5,0.0001105518677
551,2.57E-05
550.5,-8.79E-05
550,0.0001339870942
549.5,-0.0001549032313
549,-1.24E-05
548.5,2.08E-05
548,-6.36E-05
547.5,0.0001282430312
547,0.0001367667865
546.5,9.16E-06
546,3.04E-05
545.5,7.65E-05
545,0.0001599699026
544.5,-0.0001375739812
544,0.0001760299783
543.5,-0.0002617280115
543,-2.94E-05
542.5,0.0001828233508
542,3.38E-05
541.5,3.01E-05
541,-1.02E-05
540.5,1.40E-05
540,0.0002671567781
539.5,0.000155650996
539,2.31E-05
538.5,-0.0001851960697
538,-7.31E-05
537.5,1.24E-06
537,0.0001528674911
